Representative Exchange Rates for Selected Currencies for May 2017,,,,,,,,,,,
Currency,1-May-17,2-May-17,3-May-17,4-May-17,5-May-17,8-May-17,9-May-17,10-May-17,11-May-17,12-May-17,15-May-17
Currency,16-May-17,17-May-17,18-May-17,19-May-17,22-May-17,23-May-17,24-May-17,25-May-17,26-May-17,30-May-17,
Chinese Yuan,6.8934,6.889,6.8925,6.8921,6.8905,6.8905,6.8902,6.8693,6.857,NA,
Euro(1),1.1059,1.1117,1.1129,1.1179,1.1243,1.1215,1.1193,1.1214,1.1196,NA,
Japanese Yen,113.49,112.65,111.03,111.38,111.48,111.08,111.8,111.64,111.56,NA,
U.K. Pound Sterling(1),1.2892,1.2972,1.30345,1.3005,1.2998,1.2967,1.2962,1.296,1.2854,NA,
U.S. Dollar,1,1,1,1,1,1,1,1,1,1,
Algerian Dinar,108.9417,108.7424,108.68,108.5215,108.3656,108.3896,108.5194,108.4136,108.5531,NA,
Australian Dollar(1),0.7423,0.743,0.7457,0.7426,0.7444,0.7497,0.745,0.751,0.7435,NA,
Bahrain Dinar,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,NA,
Botswana Pula(1),0.0968,0.0969,0.0957,0.0966,0.0971,0.0973,0.0977,NA,0.0981,NA,
Brazilian Real,3.1005,3.0918,3.107,3.3756,3.2872,3.2857,3.2648,3.2623,3.2818,NA,
Brunei Dollar,1.3981,1.3937,1.3902,1.3924,1.3871,1.3883,1.3904,1.3836,1.3858,NA,
Canadian Dollar,1.3596,1.3614,1.3611,1.3544,NA,1.349,1.346,1.3453,NA,NA,
Chilean Peso,668.03,666.26,668.62,675.8,670.3,668.21,672.4,674.27,669.42,NA,
Colombian Peso,"2,883.87","2,873.22","2,893.40","2,932.16","2,889.45","2,895.12","2,904.61","2,905.29","2,911.66",NA,
Czech Koruna,23.888,23.778,23.927,23.71,23.557,23.615,23.642,23.552,23.606,NA,
Danish Krone,6.727,6.6927,6.6865,6.6563,6.6203,6.6375,6.6484,NA,NA,NA,
Hungarian Forint,279.57,279.63,278.57,277.29,276.28,274.54,276.28,274.03,273.79,NA,
Icelandic Krona,102.64,101.96,101.41,100.54,99.7,99.87,100.4,NA,100.26,NA,
Indian Rupee,64.0758,64.0214,64.3441,64.9906,64.5632,64.7751,64.8586,64.5088,64.5945,NA,
Indonesian Rupiah,"13,298.00","13,306.00","13,343.00","13,410.00","13,297.00","13,296.00","13,316.00",NA,"13,295.00",NA,
Iranian Rial,"32,447.00","32,444.00","32,442.00",NA,"32,443.00","32,440.00","32,444.00","32,442.00",NA,NA,
Israeli New Sheqel,3.606,3.603,3.605,3.593,3.582,3.589,3.593,3.576,3.574,NA,
Kazakhstani Tenge,312.04,313.18,313.54,312.55,310.7,310.83,311.2,310.57,311.59,NA,
Korean Won,"1,125.40","1,117.70","1,118.40","1,125.20","1,127.50","1,117.10","1,120.60","1,126.60","1,118.00",NA,
Kuwaiti Dinar,0.3043,0.30385,0.30355,0.30355,0.30335,0.30325,0.30355,0.30335,0.30335,NA,
Libyan Dinar(2),1.9324,1.9324,1.9324,1.9324,1.9324,1.9324,1.9324,1.9324,1.9324,NA,
Malaysian Ringgit,4.3135,4.3175,4.3275,4.329,4.307,4.298,4.302,4.2785,4.2775,NA,
Mauritian Rupee,35.0342,34.9049,34.7767,34.6337,34.736,34.7606,34.7695,34.7062,34.6895,NA,
Mexican Peso,18.6183,18.6761,18.8898,18.6859,18.6633,18.615,18.5689,18.4185,18.4849,NA,
Nepalese Rupee,102.57,102.56,102.55,103.53,103.43,103.35,103.48,103.76,103.29,NA,
New Zealand Dollar(1),0.6903,0.6885,0.6929,0.6889,0.693,0.7007,0.7015,0.7049,0.7018,NA,
Norwegian Krone,8.4924,NA,8.4566,8.4017,8.3361,8.3602,8.3841,NA,8.3975,NA,
Rial Omani,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,0.3845,NA,
Pakistani Rupee,104.8529,104.8526,104.8535,104.8587,104.8602,104.8764,104.8669,104.8708,104.8715,NA,
Nuevo Sol,3.256,3.268,3.281,3.266,3.27,3.28,3.275,3.263,NA,NA,
Philippine Peso,49.71,49.651,49.742,49.834,49.906,49.753,49.785,49.968,49.875,NA,
Polish Zloty,3.7932,3.7808,3.7926,3.7735,3.7526,3.7354,3.7535,3.7177,3.7248,NA,
Qatar Riyal,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,NA,
